TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_13113,BRANCH;EXCEPTION,0.7222222222222222,11,6
com.example.task_evaluated.task_20188,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_18561,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_2925,BRANCH;EXCEPTION,0.8333333333333333,10,7
com.example.task_evaluated.task_26420,BRANCH;EXCEPTION,0.9,8,7
com.example.task_evaluated.task_29218,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_6068,BRANCH;EXCEPTION,0.9375,20,18
com.example.task_evaluated.task_17244,BRANCH;EXCEPTION,0.8,6,4
com.example.task_evaluated.task_8025,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_32125,BRANCH;EXCEPTION,0.6428571428571428,11,6
com.example.task_evaluated.task_32160,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20700,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_19780,BRANCH;EXCEPTION,0.7619047619047619,21,11
com.example.task_evaluated.task_17668,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_6231,BRANCH;EXCEPTION,0.875,5,4
com.example.task_evaluated.task_11123,BRANCH;EXCEPTION,0.5454545454545454,34,4
com.example.task_evaluated.task_16777,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_12585,BRANCH;EXCEPTION,0.8,5,3
com.example.task_evaluated.task_2084,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_14188,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_14559,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_16596,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_28043,BRANCH;EXCEPTION,0.8888888888888888,11,9
com.example.task_evaluated.task_20396,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_4244,BRANCH;EXCEPTION,0.8333333333333333,3,2
com.example.task_evaluated.task_13465,BRANCH;EXCEPTION,0.9166666666666667,7,6
com.example.task_evaluated.task_11840,BRANCH;EXCEPTION,0.8846153846153846,17,14
com.example.task_evaluated.task_14148,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20057,BRANCH;EXCEPTION,1.0,17,17
com.example.task_evaluated.task_20814,BRANCH;EXCEPTION,0.8,7,5
com.example.task_evaluated.task_13872,BRANCH;EXCEPTION,0.9,6,5
